Review,Varietal
"If you are looking for a great example of Margaux for under $30, look no further.  LZ has a beautifully expressive bouquet, with dark powerful fruit, violets and minerals.  The acidity is great and keeping this bottle fresh even ten years after the fact.  Power, grace, age and value, this has it all!
",Cabernet Sauvignon and Blends
"One of the last vintages bottled under a separate label prior to its historic reunification with neighbor Château Labégorce in 2009. The wine is still quite youthful in character, deeply colored and marked by primary fruit flavors and firm tannins. It shows a great deal of promise, however, with a lovely weight and lush texture that make an immediate impression.
",Cabernet Sauvignon and Blends
"This is dark and refined with black cherry fruit, mineral, a touch of spice and scents of dried, crushed flowers.  The middle is smooth and subtle on this traditionally styled wine which has a mineral streak on the elegant finish of red fruits and berries.  Old school and very easy to like.
",Cabernet Sauvignon and Blends
"Another superb 2007 value wine-this one with more structure and power than most.  Deep, dark color for a 2007-full throttle wine with a great core of fruit. Decant and enjoy. I believe this is the last vintage of this property as it has been folded into the Labegorce label.  Cassis and some roses on the nose and palate. Enjoy with a big steak dinner.
",Cabernet Sauvignon and Blends
"On the outskirts of St. Helena, rising behind the town on the west side of the Napa Valley, is Spring Mountain — one of the most coveted sources of Cabernet fruit in the state and a site that has produced a number of my favorite California wines over the years. Upon that hillside sits the Spring Mountain Vineyard Winery with a 226 acre vineyard on the eastern slopes that's broken up into 135 blocks, each with its own unique terroir. As you can imagine, this gives the winery a vast set of tools with which to construct their annual Napa Valley Cabernet Sauvignon release. I'm always preaching the gospel of ""mountain fruit"" to our customers, whether it's Spring, Howell, or Diamond, because of its concentration and complexity compared to what's grown on the valley floor. Mountain wines also tend to have more power and drive with the potential to age decades in the cellar. When fruit is grown on a hillside, it tends to ripen more slowly due to less direct sunlight (think of simmering your stew versus boiling it), plus the drainage is better during rainy months as the water will flow downhill rather than bog down the vineyard soils. The best Cabernet wines from California come from the mountains, no matter which mountains you're referring to. Spring Mountain, however, happens to be one of the best locales and the appellation has become world-renowned for wines with pureness of fruit and elegant, balanced tannins. What's fascinating about the 2012 release from Spring Mountain, however, is how soft and silky it is on the palate and how precocious the flavors are at such a young age. Its rich and plush at first sip, but it unwinds slowly into classic Cabernet flavors of earth and spice with hints of brush on the finish. All around this is a grade A Napa mountain fruit specimen, but the value really comes with the new discounted price. You could grab a case of this and drink well on birthdays and anniversaries for the next decade.
",Cabernet Sauvignon and Blends
"Spring Mountain's estate Cabernet Sauvignon is fantastic, with a great price to match. This wine already has 5 years of age and drinking wonderfully now, but also has a long life ahead of it. Its full, rich body is accompanied by red currant, raspberry,  and cassis with big tannin that's well integrated. It also has some wonderful spice and earthy character giving more complexity. This is a great deal, especially for a wine from Napa's Spring Mountain region.
",Cabernet Sauvignon and Blends
"They did it again.  This is the best Cab value in the store.  Medium to full bodied, rich dark fruits, a touch of spice for intrigue and moderate tannins.  An any occasion wine.
",Cabernet Sauvignon and Blends
"This is one of the best selling Cabernet blends for us and it is easy to see why. Although we get plenty of this wine it always seems to sell out much more quickly than I expect and that is because of how much you get for this price. Beautiful generous fruit with notes of blackberry and cherry are met with structure and some bramble and a touch of herbaceous notes. This is a wine to stock up on because as I mentioned it always go way to quickly.
",Cabernet Sauvignon and Blends
"After thirty years in the retail business, I think one of the aspects that still keeps me motivated is finding excellent quality wine, as with the 2014 Trébiac, in this price range. I have always found it easy, if not boring, to sell the expensive 'stuff' that has received a b'zillion points from the many different wine writers, but finding wine as this and selling it in quantity to our customers continues to excite me. This Gem is medium-deep ruby in color, offers a lovely nose of black cherry to cedary to earthy tones whcih carries over nicely to a soft, round, drinkable Bordeaux with a silky finish. Rusty has demanded that I bring home several cases of this Gem for our near-term consumption. GREAT VALUE!!!
",Cabernet Sauvignon and Blends
"This is a classic 2014 wine with its high-toned fruit. It might surprise some for its blend of 70% Merlot and 30% Cabernet Sauvignon, and it is delicious. A nose with fruit notes of cherry, plums and a touch of cola, along with an earthiness that is so typical of the best Graves wines. The palate shows its fruit in all its juiciness, but it doesn’t end there: spices and even a surprising note of salty minerality make sure this wine will be perfectly at ease at the table. I would age it for a couple more years, or a put it through a quick passage in the decanter if you are impatient.
",Cabernet Sauvignon and Blends
"A lot of wine for $12.99.  The 2014s are hot sellers in Bordeaux as the prices are very good.  This mineral driven wine has plenty of stuffing.  Decant it one hour at least and enjoy.  Red berry aromas and flavor with earthiness on the palate.  Great value!
",Cabernet Sauvignon and Blends
"*V At UGC: A very ripe wine, with mint and orange zest undertones. Exotic to a point. Samples were variable.
",Cabernet Sauvignon and Blends
"This is a fresh and gentle bargain showing a touch of earth and red fruits galore.  The finish is soft and sweet making this perfect for a Tuesday night burger or any casual get together.
",Cabernet Sauvignon and Blends
"What a great value here. We tasted it during April 2017 Bordeaux trip-Organic wine made by Ch La Croix Taillefer, Pomerol. A blend of merlot and Cabernet, it is so lush on the palate-a bit new wave and quite California style. Sweet and sexy with some savoury notes. A steal at $13. These 15s are super delicious at this early stage. This one is spicy and vibrant.
",Cabernet Sauvignon and Blends
"What a nice little wine! Although the fruit is on the forefront with its plum, and cassis notes, it also possess beautiful cedar notes and even a touch of leather. A nice wine to pair with a cheese platter.
",Cabernet Sauvignon and Blends
"Malescot Saint Exupery- I am 100% agreement with K&L Vice President Trey Beffa when he says that Malescot is a candidate for Wine of the Vintage!  70% CS Tasted twice and outstanding both times, at the Chateaux… Deep, silky and sexy! Loaded with fruit… Cherries-Kirsch and Cassis! More accessible than Palmer, sweeter, rounder fruit than Ch. Margaux, just outstanding! 3 Stars! At the Joanne tasting of 170 wines…sweet, round and lovely! 3 Stars again. Bravo to my golf partner and owner Jean Luc Zuger who gets 3 Stars for making a great wine and for having the sense to price the wine where wine lovers can afford to drink it!
",Cabernet Sauvignon and Blends
"This is an absolutely beautiful wine with a nose of chocolate and cherries, followed by a lush fruit on the palate and a graceful run to the finish. There are plenty of firm tannins on the back end, meaning the wine should have great potential for the cellar, but it tastes so darn good right now I think most people would have a tough time keeping their hands off of it. The Malescot sums up the 2015 Margaux vintage perfectly: it's a wine of beauty, finesse, and elegance. For the price, it may be the best value we see from the appellation. I'm expecting this and Issan to be the vintage's top bargains for those who (like me) cannot afford to buy wines like Chateau Margaux proper.
",Cabernet Sauvignon and Blends
"Malescot St. Exupery is a top five producer in Margaux on an annual basis and the 2015 Malescot St. Exupery is no exception. At $49.99 this is the best value of the 2015 Bordeaux vintage in my opinion. To get a wine of this quality for under $50 is the exact reason to buy Bordeaux En Primeur. A beautiful wine packed with ripe red fruits, hints of chocolate and mint this is a silky smooth wine that is irresistible. Always a favorite they have once again knocked it out of the park!
",Cabernet Sauvignon and Blends
"One of my possible candidates for wine of the vintage! Very dark color, lovely spicy nose, hints of bittersweet chocolate, polished juicy texture with a hint of mint and savory herbs. Tannins are ripe and integrated. Very fresh and balanced with a long lingering finish- a wine to buy for the cellar!
",Cabernet Sauvignon and Blends
"I've been drinking the Jax wines for years now and I think I can safely say that the 2015 Napa Cabernet is the best wine I've ever tasted from the local producer. Their winemaker Kirk Venge continues to fine-tune this expression with every vintage and each time he seems to get better at doing it. The 2015 is his masterwork thus far. I've tasted it on five separate occasions now and the wine is simply perfect from front to back. It's also the perfect mid-range bottle for those of you who enjoy your Napa Cab on the younger and richer side, but I can foresee plenty of cellar life on the horizon. The dark red fruits pop with juiciness, but are buoyed by velvet tannins and plenty of acidity. It's never cloying or bloated with sweetness, but rather expansive and mouthcoating with just a bit of chewiness on the finish. The Jax Cabernet has always been my go-to fifty dollar Napa red. We've been tremendously successful with the brand for some time. But the 2015 goes beyond simple dependability. This is a masterpiece of modern Napa winemaking. Bravo.
",Cabernet Sauvignon and Blends
"Jax did a phenomenal job on their 2015 Napa Cabernet Sauvignon and I love it even more than their 2014 release. The second it's poured, this wine is complex and aromatic with dark, rich and complex flavors. Fresh blackberries, cassis, cedar and black cherry character really shine through. The longer it's in the glass, it continues to evolve with delicate flavors and robust coffee notes. There is balanced acidity and fine tannin, ensuring aging potential but also drinks great right now!
",Cabernet Sauvignon and Blends
"Deliciously seductive 2015 Jax Cabernet Sauvignon is incredibly drinkable and fully approachable despite its young age. It's full-bodied and rich with velvety, supple tannins and bright acidity which gives this wine good aging potential. But what I love about this Cab the most is amazing flavors: black mulberry, marionberry and black cassis all wrapped up in espresso and dark spice notes.
",Cabernet Sauvignon and Blends
"Grown on well-drained gravel and clay soils, this attractively crimson-hued Bordeaux  is a mouthwatering blend of 45% Merlot, 35% Cabernet Sauvignon, and 20% Cabernet Franc, delivering delightful aromas and supple, round flavors of  cherry, blackcurrant, vanilla and toast, with smoothly-defined tannins. Pair with a grass-fed burger and swiss cheese, this is an excellent  everyday Bordeaux value from a fine vintage.
",Cabernet Sauvignon and Blends
"This has earthy cherry fruit with a dark edge underneath the elegant exterior.  This solid wine is a consistent over achiever and drinks well above the modest price.
",Cabernet Sauvignon and Blends
"I always love this elegant wine made by the Beychevelle team. Pretty red fruit aromas--quite soft on the palate.  The folks at the Wine Enthusiast love it also at 92 points.
",Cabernet Sauvignon and Blends
"Seamless wine! Starts with lovely aromas of red fruit and spice, earthy notes and black currants with touch of red plum. On the palate it has great structure with very smooth developed tannins, bright fruit and charming earthiness. Charming and perfect for drinking it now.
",Cabernet Sauvignon and Blends
"This has pretty red fruit on the nose: black cherry, strawberry and minerals.  The extra merlot gives this a riper edge than some other clarets from the vintage, but there is still great acidity.  It is just starting to show savory elements like leather and forest floor.  I had this with Christmas dinner, and it was showing great!
",Cabernet Sauvignon and Blends
"Purchased in 2013 by the Cuvelier family, owners of neighboring Clos Fourtet, along with Clos St-Martin and Les Grandes Murailles. This continues a centuries-old tradition of family ownership that dates back to the founding of the property in 1643. Toasty oak and a hint of violets on the nose. Merlot dominates the blend in this Right Bank value, with ripe, almost jammy plum notes. Finishes with fine tannins.
",Cabernet Sauvignon and Blends
"An unknown property that makes good value wines based on their Merlot vineyards.  Black fruits on the nose.  Ripe and fruity on the palate with brisk acidity.  Enjoy with rack of lamb.
",Cabernet Sauvignon and Blends
"An altogether lovely wine! The blend is slightly more Merlot dominate in this vintage, which adds to the silky texture and the lovely black-fruit perfume. Although this wine is still on the young side for drinking, it has all the components in place, and will undoubtedly prove the quality of this Chateau with a little extra time in the cellar.
",Cabernet Sauvignon and Blends
"You need to dig deep into this deep and creamy wine to find the St-Estephe firmness buried underneath the plush blackberry and rich cherry fruit.  Although opulent enough to enjoy tonight the serious structure holding this together will reward the patient collector.
",Cabernet Sauvignon and Blends
"A classic Left-Bank Bordeaux nose of dark fruits, notably of plum and black currants, along with leather, violets, and gravel. Dark fruit dominates the palate profile as well, with blackcurrant, blackberry, and dark cherry flavors exuding themselves.  Stony, gravelly minerality and slight hints of dried thyme on the finish. Broad tannins and an elevated acidity make this wine a very nice choice as a holiday food wine; think roast leg of lamb, prime rib, or Beef Wellington. It is preferable to decant this wine for at least 30 minutes - 1 hour prior to serving for maximum enjoyment
",Cabernet Sauvignon and Blends
"This is a wine that drinks well above it's price point. Rich fruit, soft tannin, fresh acid and a long finish. Blackberries, and dark cherries give way to cocoa, coffee and a touch of leather. The depth of the wine is amazing and lingers of the palate.
",Cabernet Sauvignon and Blends
"This is full, rich and almost extravagant but held in check by the integration of powerful structure, wonderful proportion and a finish of fine, ripe tannin.  From an appellation that was a roaring success in 2016 this is a relative bargain.
",Cabernet Sauvignon and Blends
"Noon at Ch. Malescot  One wine to taste with Jean Luc Zugar. 55%CS 37M 6CF 2PV “The 2015 was a 3 Star beauty and the 2016 is again a fabulous 3 Star wine. Perfectly extracted ripe grapes and great tasting, fine blance, tannins and long finishing. 3 Stars and also by FAR the greatest value for great Margaux wine.”
",Cabernet Sauvignon and Blends
"Another standout with fantastic berry fruit, baker’s chocolate and super-silky tannins with that unmistakable Margaux feel.  This was the biggest seller we had for the 2015 Bordeaux offering.  This wine is vying with it for the crown of best in store. Bright and lively.So lush and ripe.  Jean Luc Zuger has fashioned another top wine for 2016.  This wine is a bit more precise than the 2015.
",Cabernet Sauvignon and Blends
"There is nothing better than a wine that houses two seemingly opposite characteristics under the same cork. In the case of Malescot, it’s all about poise and power (the hallmark of GREAT Bordeaux). Malescot has fast become one of my favorite properties in Margaux, with the 2016 offering even furthering the case. Whether a Bordeaux neophyte or devotee, you are going to love this wine! Wonderful layers of ripe blue and red fruits are offset by savory complexity and long refreshing mineral tones. You will be hard pressed to find a more palate-pleasing wine at this price anywhere in the world.
",Cabernet Sauvignon and Blends
"Delicious.  Delivers everything that I want from a wine from this region.  Crunchy dark red fruit, stony gravelly tones, a hint of oak and fine polished tannins.  This wine way over preforms for the price point.
",Cabernet Sauvignon and Blends
"2014 seems like a vintage tailor-made for the Graves region. A long, cool summer kept acid levels high, lending the wines a noticeable freshness and liveliness. A nearly perfect autumn with warm days and cool nights brought the grapes to perfect ripeness, yielding an admirable sweetness of fruit. Add to that the classic Graves mineral profile and you have a veritable trifecta of taste. Owned by the Perrin family, who also own Cru Classé Chateau Carbonnieux, Chateau Haut Vigneau is always a terrific value. This 2014 vintage is partly floral, partly savory on the nose with notes of tobacco and smoke. Very lively and fresh in the mouth with classic Graves minerality and fine tannins. Soft and round with loads of sweet fruit, this medium to full-bodied effort is ready to drink tonight. Decant for best results.
",Cabernet Sauvignon and Blends
"An overachieving property of Carbonnieux fame that scores big in the price/quality ratio year after year.  This gravely wine has hints of spice, mineral and milk chocolate to go along with the crunchy dark currant fruit and sweet, rocky finish.  Fairly deep and rich for the appellation but satisfying and super food-friendly.
",Cabernet Sauvignon and Blends
"This is a killer Bordeaux value and it's an eye-opener into how good the 2014 vintage really is. In the modern age of sound bites and short summaries, we tend to classify entire vintages into ""good"" or ""bad."" 2009 = good, for example. Anything not hyped as the greatest vintage of all time gets short shrift as a result. When broad strokes like that get painted in the wine world, two things happen: prices stay low and values get overlooked. That's exactly what happened here with the 2014 Haut Vigneau, a wine I've now enjoyed on a number of occasions. The quality is apparent in the first sip, before you've even decanted it. The fruit is pretty and restrained. The tannins are subtle and understated. The minerality of the Graves moves like an undercurrent beneath the berries and the earth. I've had this wine with steak, with chicken, even with Chinese food. It always tastes great. Then I look at the $17.99 price tag and it starts tasting even better.
",Cabernet Sauvignon and Blends
"Château Haut-Vigneau is owned by Eric Perrin, the son of the late Anthony Perrin of Chateau Carbonnieux fame. This property is one of the best value reds in all of Bordeaux. The 2014 is absolutely delicious--soft and elegant with tons of ripe red fruit flavors on the mid-palate. This vintage also has a core of mineral on the palate. I prefer this to their 2012.
",Cabernet Sauvignon and Blends
"I am a California Cab guy. I find this wine to be utterly mind blowing. I can't buy more because I don't have a wine fridge. The wine: dark purple, explosion of plum, creme de cassis milling around, and a very minute tangy/grapey flavor, almost a touch Amarone-esque. Amazing stuff.
",Cabernet Sauvignon and Blends
"Succulent and bearing nicely integrated oak, this has lots of roasted plums, a hint of herbs, floral notes and plenty of red berry fruits. You can count on Australia to over-deliver without overwhelming.
",Cabernet Sauvignon and Blends
"This is such a great value and a real chance for newcomers to Australia to jump into one of the country's most interesting Cabernet regions: Connewara along the Limestone Coast of South Australia. The red soil along with the maritime climate creates expressive and characterful Cabernets that have much more than just ripe fruit and an ample mouthfeel. The Penley ""Phoenix"" is exhibit A, brimming with herbaceous flavors, hints of tobacco, but also a savory black olive note and a dark, decadent finish. There's A LOT of wine here for the money, but also a great learning opportunity. I've found my exploration into the wines of Australia to be incredibly rewarding, especially since visiting earlier this year. It's wines like this that keep me coming back for more.
",Cabernet Sauvignon and Blends
"A stellar bargain in Cabernet. This is has the richness, power and structure that has made this grape King! Packed full with blackcurrant, cassis, plum, sweet oak, a touch of cigar box and fresh picked mint. Mouth-filling and voluptuous but with fine sculpting tannins; beautiful length and freshness on the palate. A super complete wine the like of which normally comes with a $50+ price tag. Try it for yourself...see what we are raving about.
",Cabernet Sauvignon and Blends
"Along with the Penley Shiraz we carry, I was blown away when I saw the price on this wine. This is an absolutely delicious Cab from an old school producer and one I would be happy to present at any event, especially at this price point. It's deep and the Cab Sauv woodsy qualities shine though without overwhelming the fruit.  I found it layered and interesting and was super excited to see this as the entry level wine for such a well respected producer. If this is how good their least expensive wines are, I can't wait to see the higher tier bottlings.
",Cabernet Sauvignon and Blends
"It's back and better than ever! Silky smooooooth on the palate and packed with the seductive dark fruit tones of blackberry, blueberry and baked plums. Hints of tobacco and cedar brings it all together to display the beautiful structure of this vintage. It's full-bodied and rich but not cloying or sappy. It definitely over delivers for the price. This is soul-warming Cab and it's delicious!
",Cabernet Sauvignon and Blends
"Pontet Canet- The lively bright purple fruit is so very pure and tasty! Lots of blueberry and black currant fruit with great freshness and delicious taste. Nice elegance, no hard tannins, perfect extraction. Claret style; which means crisp and fresh! 2 Stars
",Cabernet Sauvignon and Blends
"This is a dark and decadent wine with lush black fruits and oak influence that turn into earthier elements and tannic structure on the finish. It's also a powerful wine with a massive finish compared to its 2015 counterparts. There's a flurry of pepper and herbs on the finish that come out to play once the fruit fades away. Could be the wine of the vintage for those in search of big, structured, cellar-worthy wines.
",Cabernet Sauvignon and Blends
"A perfect score for quality vs price for this beauty. Unfortunately production was done almost 50%, so our allocation is not great. 65% Cabernet and 30% Merlot with the rest CF and PV. Deep, dark blue-black color. Very spicy aromas and flavors. Great depth of flavor here-not a monster (only 13.5 alcohol)but on elegant side. Perfect balance and long, lingering finish. Compare this to the 2009 at $299 or the 2010 at $279.  Should go to $200 by release time.
",Cabernet Sauvignon and Blends
"**Don’t Miss** Inky color.  Deep, pure, and large scaled with black and blue fruits, exotic spice, and a firm but unctuous mid-palate with smoky oak. Moderate plus body with a long and intense finish. One for the cellar and will reward the patient.
",Cabernet Sauvignon and Blends
"I may be partial to wines from St-Julien, but this particular bottle certainly outshines its price point by a long shot. It's drinking beautifully at present, but still shows plenty of structure to continue aging. On the palate, the wine shows plenty of bright, red fruit, elegant cigar box spice, and just the right amount of savory development. If you are in the market for a nicely aged Bordeaux that drinks beautifully,  I wouldn't hesitate to try this wine.
",Cabernet Sauvignon and Blends
"Finding perfectly stored older Bordeaux at a decent price from a good producer is extremely tough and one of the reasons we deal with so many different negociants in Bordeaux. The 1999 vintage was not one of power and concentration like 2000, it was far softer and easier to drink with nice soft-ripe fruit. My notes reflect exactly that as I told Clyde on the way home on the plane from the 1999 evaluation...""I don't think I have ever written down, tastes good so many times for young wines"". The second wine of Gruaud Larose from 1999 is drinking beautifully now showing soft, warm, developed herbal fruit flavors with hints of earth and leather. The 2000 is a few years away from the perfect drinking window and is a much tighter, stronger and fresher expression with some nice red current fruit underneath the wood. Both wines are a steal for mature Bordeaux.
",Cabernet Sauvignon and Blends
"Darker in color and more closed aromatically than the 1999, this shows the power and structure of the vintage with sweeter fruit and a deeper core of richness.  This is full-bodied, chewy and classically styled with ripe tannins embedded in the crunchy currant and dark plum fruit.  Decant this for an hour and enjoy with hearty food.
",Cabernet Sauvignon and Blends
"Great structure and balance! A wine with great length and complexity with firm tannins and good acidity the 2000 Sarget de Gruaud Larose. This wine has dark berry fruit, underbrush and bitter chocolate notes unfold on the palate as this youthful 2nd wine begins to spread its wings.
",Cabernet Sauvignon and Blends
"The second label of second growth Chateau Gruaud-Larose, named for one of the property's most prominent 19th century owners. The 2000 Sarget de Gruaud Larose, St-Julien shows off the strength of this millennial vintage. Big and round in the mouth with admirable weight. Lightly floral nose with characteristic tobacco notes. Lively fresh-picked blackberry fruit. Finishes firm with tannins still noticeably present. Drink or hold.
",Cabernet Sauvignon and Blends
"I just tasted this wine (July 7, 2016). A smoky, toasty, rich and concentrated nose of red fruits. Like the 1999 but richer on nose and on the palate. This has some tannins but with decanting you can enjoy now with a rich meal.  I would save this wine for a few years and enjoy the 1999 now.
",Cabernet Sauvignon and Blends
"Do not attempt to drink this wine without first decanting for an hour!  But if you do decant you will get soaring aromas of raspberries, blackberries and earthy potting soil in a muscular but caressing mid-palate with a huge mineral core.  There is a deep and enveloping warmth to the ripe fruit and a full-bodied but gentle mouth feel to the substantial middle.  Decant a bottle tonight and lay another away for 10 or more years.
",Cabernet Sauvignon and Blends
"I love, love love (did I mention that I love) St. Julien, and Lagrange is one of those properties that consistently flies under the radar. It is therefore priced accordingly, and a relative bargain for the excellent 2009 vintage.  My first experience with a bottle of Lagrange was at a French bistro in SF, enjoying a bottle of the 1999 alongside steak frites, maybe sometime in 2008 or 2009. It was sumptuous, elegant, the perfect combination of restrained Bordeaux fruit, acidity, and delicate savor. While I love my 1999s, you can rest assured that the 2009s are much better! This is tasty now after an hour decant (which is incidentally when I ran into my colleague and noticed he was tasting it), though it is undoubtedly a 20+ year wine if you prefer to wait patiently as this fine St. Julien matures.
",Cabernet Sauvignon and Blends
"Awesome little Bordeaux blend from Te Mata. This is made from 100% estate fruit. (In fact Te Mata sell a good quantity of their fruit...so this actually comes from some of the best parcels on the estate they keep for themselves.) Despite being the ""entry level"" tier of wines this really shows it's pedigree. Dark fruit, earth, cigar box, a hint of charred oak; the nice tannin structure and balanced acidity means this will also keep for 5+ years no problem. Such a great value given the quality of the wine and iconic stature of the producer.
",Cabernet Sauvignon and Blends
"A very alluring California Cabernet with lovely restraint and finesse. Its dark fruits, the warmth of baking spices, pleasantly grippy tannins and solid structure will sway anyone who shuns all California Cabs.
",Cabernet Sauvignon and Blends
"The deep cassis core in this wine is super attractive, hard to find this note in this price range. Great spice on the nose. The tannin structure is energetic, letting you know the wine can be enjoyed now or set down for some time and develop into something even better. Flank steak 101.
",Cabernet Sauvignon and Blends
"It is always a pleasure to taste Napa Cabernet that is made in what I would call a “classic” style. The 2013 Groth is a wine like that. Instead of that vanilla bean and over-ripe fruit character, I get tons of red cherries, cassis, coffee and five spice. It is a firm, full bodied wine that shows a ""terroir"" driven backbone which I would consider refreshing these days.
",Cabernet Sauvignon and Blends
"Old school in style with incredible drinkability, Groth Cabernet Sauvignon is an icon of Napa Valley, showing currant and cherry fruit, with subtle smokiness and substantial structure, and finishing with silky tannins. With its depth, elegance, and purity of fruit, the 2013 is an easy go-to for California fans and Bordeaux drinkers alike.
",Cabernet Sauvignon and Blends
"On these cool winter nights there is nothing better than a big Napa Cabernet!  Silverado reveals itself with plush notes of black fruit, dried herbs and espresso tasting notes.  This is not about overblown fruit.  It is big, but balanced with the fruit, oak and tannins,  all well integrated.  Silky smooth and velvety in texture, the classic Staggs Leap District Cab pervades.  The balanced acidity makes for a long finish, with flavors that continue to warm the insides of the heart.  Light a fire, open the bottle of Silverado and enjoy the magic that only a Napa Cabernet can bring.
",Cabernet Sauvignon and Blends
"What a gem! Surprisingly green on the nose, with pepper notes and subtle mocha through the palate, Silverado is a well-balanced Cabernet Sauvignon that somehow showcases classic Napa style while feeling reminiscent of Bordeaux. In fact, we sneaked it into a lineup of Left Bank new arrivals and it held its own! This is still California though: dark berry fruit shines through, with a welcome structure to the finish. Grip, elegance, and all estate fruit for barely 40 bucks – the 2013 Silverado will impress Napa fans and beyond.
",Cabernet Sauvignon and Blends
"Silverado is an old school, traditional producer and that is exactly what you get from this Cab. Classics aromatics on the nose with subtle green and spice notes, coupled with black raspberry black cherry and plum. The palate is silky and supple with some nice grippy but needed tannins. Top this under $40 Cab with a persistent finish of integrated oak and balanced fruit and you have a time honored Napa Cab style for an amazing value!
",Cabernet Sauvignon and Blends
"A classic Napa Cabernet in a style and price point that has become all too rare these days! It's built on deep, earthy, powerful fruit, loamy notes, cedar and cigar box. The palate is rich and full but not confected or over extracted. The oak gives a framework and exotic spice but doesn't over power the varietal nuances. There's a freshness to the fruit and a line and length that is really well done. Real pedigree on display here. In the realms of modern Napa Cab this is a very impressive and complete wine for such a modest price point.
",Cabernet Sauvignon and Blends
"Glad to see another well made and super interesting Napa Cab come in at under $40! Toasted mocha, burnt caramel, and chewy tannins give this wine tons of complex, interesting, and satisfying flavor and mouth feel. The acidity is balanced, making this a perfect dinner pairing for a protein, especially one covered in a sweeter sauce, whether it be BBQ or fruit-based.
",Cabernet Sauvignon and Blends
"The 2013’s sure do impress! One of the later releases, the Silverado Estate Cabernet, is a great example of a California Cabernet that is not overdone. The fruit is full and ripe but is balanced with the rest of the wine. This is a big, sturdy Cab that shows lots of complexity but still manages to show some finesse. This should please most if not all California Cab drinkers.
",Cabernet Sauvignon and Blends
"Now this is Napa Valley Cab! Instantly on the nose, whether blind tasting or not, you can tell that it's a Napa Valley Cabernet. While there is a subtle underlying herbaceous note, most likely due the splash of Cab Franc, classic aromatics of black cherry, currant, blackberry, sweet dried oak and mocha dominate the nose and palate.  Matching the intense aromatics is a weighty yet silky mouthfeel that rounds out this classic yet inexpensive NV Cab.
",Cabernet Sauvignon and Blends
"Elegant ruby/purple color with a nose full of raspberries, currant, and forest floor. The use of oak is so well integrated; you can smell a hint of vanilla, but it is very light. The fruit notes reflect on the palate, but are supported with a touch of tobacco and vibrant acidity. This is a bottle that will develop nicely.
",Cabernet Sauvignon and Blends
"This small production, gorgeous Rutherford Cabernet is made from some of the appellation's finest fruit, and can stand up to wines three times the price. With classic dusty, fine tannins and aromas of dried rose petal, strawberry and star anise, this wine is elegant and powerful. It's focused, medium bodied palate with layered complexity make a great pairing with anything from fall stews to braised beef.
",Cabernet Sauvignon and Blends
"Fragrant on the nose, lots going on here including peppered cassis, strawberry chews, and a bit of dark licorice.  The palate is soft, chewy, and fruity with just the right amount of acid for support. Along with a great tannic bite, this makes a great option for newer California drinkers looking to step their game up a notch.
",Cabernet Sauvignon and Blends
"This is a wine that you can sink your teeth into! Full bodied and chewy with ample tannins, this is a must have Cab for those who love a wine they can take a bite out of. And while there's a generous amount of body and texture on the palate, the nose is brimming with classic aromatics of black currants, garrigue and dark cacao.
",Cabernet Sauvignon and Blends
"The concept behind the Two Lands label at Jacob's Creek is to bring together two world class winemakers from California and Australia to create the best of both worlds. Ehren Jordan, the winemaker/proprietor from famed Napa winery Failla, melds his expertise with that of Aussie winemaker Bernard Hickin to create a lush, yet subtly oaked every day Cabernet, with aromas of blueberry, blackberry, and herbaceous undertones.
",Cabernet Sauvignon and Blends
"A really cool ""west-meets-down-under"" wine collaboration project, the dark ruby color immediately got my attention. The fresh plum basket nose is nicely supported by light cedar and anise. The fresh fruit and baking spice flavors would go great with some BBQ sauce.
",Cabernet Sauvignon and Blends
"This is what a perfect Napa Valley Bordeaux Blend is supposed to taste like and Pahlmeyer has become my benchmark against which I measure all others. There is incredible depth and complexity in this wine, while being simultaneously velvety and soft. Most importantly, this wine is just incredibly delicious, balancing strength and elegance and present, but not jammy fruit. A phenomenal wine that I would feel privileged to drink again and I think people will find this vintage turned out much better than some expected.
",Cabernet Sauvignon and Blends
"Effortless beauty and finesse. If you're looking for an aromatically expressive Bordeaux blend that doesn't quit, that has a lovely, spicy, brightly acidic, velvety mouth-feel on the palate, then this should be at the top of your list. Loads of dry flowers, bright fruit, and graphite on the nose. Delicious fruit, light minerals, lifted acidity, and fresh herbs play well together on the palate. This is one of my favorite players in the short list of wines that have achieved  cult-like status. While many others in this category are much less approachable, the Pahlmeyer Bordeaux Blend offers up lots more freshness and appeal a lot sooner. An iconic wine indeed!
",Cabernet Sauvignon and Blends
"The 2014 Pahlmeyer Bordeaux blend really hits the mark when it comes to luxury, elegance and balance, just what we'd expect from a high-end Napa producer. Fabulous aromatics fill the glass of black cherries, cocoa powder, licorice and cedar box. On the palate this wine is super silky and concentrated with bold flavors and balanced out with tannin and mid-palate acidity. This wine is sure to age well, but could be enjoyed young as well.
",Cabernet Sauvignon and Blends
